Electric field distortions due to the shape of the CM; R,Z and Dist Int in cm
Source: Howard Wieman Dec 2000 - Done in MathCad on his laptop
33 steps in R   // This file is misnamed.  It is a copy of membrane_efield.dat
12 steps in Phi // and it is mistake.  But it must remain here for a while
69 steps in Z   // for backwards compatibility.  6/12/2001  JT
   212       2.618        -280           0           0 
 219.5       2.618        -280           0           0 
   222       2.618        -280           0           0 
  14.5       3.142        -280           0           0 
    17       3.142        -280           0           0 
  24.5       3.142        -280           0           0 
    27       3.142        -280           0           0 
  34.5       3.142        -280           0           0 
    37       3.142        -280           0           0 
  44.5       3.142        -280           0           0 
    47       3.142        -280           0           0 
    49       3.142        -280           0           0 
    50       3.142        -280           0           0 
    51       3.142        -280           0           0 
  59.5       3.142        -280           0           0 
  64.5       3.142        -280           0           0 
  79.5       3.142        -280           0           0 
  84.5       3.142        -280           0           0 
  99.5       3.142        -280           0           0 
 104.5       3.142        -280           0           0 
 119.5       3.142        -280           0           0 
 124.5       3.142        -280           0           0 
 139.5       3.142        -280           0           0 
 144.5       3.142        -280           0           0 
 159.5       3.142        -280           0           0 
 164.5       3.142        -280           0           0 
 179.5       3.142        -280           0           0 
 184.5       3.142        -280           0           0 
   199       3.142        -280           0           0 
 199.3       3.142        -280           0           0 
 199.5       3.142        -280           0           0 
   202       3.142        -280           0           0 
 209.5       3.142        -280           0           0 
   212       3.142        -280           0           0 
 219.5       3.142        -280           0           0 
   222       3.142        -280           0           0 
  14.5       3.665        -280           0           0 
    17       3.665        -280           0           0 
  24.5       3.665        -280           0           0 
    27       3.665        -280           0           0 
  34.5       3.665        -280           0           0 
    37       3.665        -280           0           0 
  44.5       3.665        -280           0           0 
    47       3.665        -280           0           0 
    49       3.665        -280           0           0 
    50       3.665        -280           0           0 
    51       3.665        -280           0           0 
  59.5       3.665        -280           0           0 
  64.5       3.665        -280           0           0 
  79.5       3.665        -280           0           0 
  84.5       3.665        -280           0           0 
  99.5       3.665        -280           0           0 
 104.5       3.665        -280           0           0 
 119.5       3.665        -280           0           0 
 124.5       3.665        -280           0           0 
 139.5       3.665        -280           0           0 
 144.5       3.665        -280           0           0 
 159.5       3.665        -280           0           0 
 164.5       3.665        -280           0           0 
 179.5       3.665        -280           0           0 
 184.5       3.665        -280           0           0 
   199       3.665        -280           0           0 
 199.3       3.665        -280           0           0 
 199.5       3.665        -280           0           0 
   202       3.665        -280           0           0 
 209.5       3.665        -280           0           0 
   212       3.665        -280           0           0 
 219.5       3.665        -280           0           0 
   222       3.665        -280           0           0 
  14.5       4.189        -280           0           0 
    17       4.189        -280           0           0 
  24.5       4.189        -280           0           0 
    27       4.189        -280           0           0 
  34.5       4.189        -280           0           0 
    37       4.189        -280           0           0 
  44.5       4.189        -280           0           0 
    47       4.189        -280           0           0 
    49       4.189        -280           0           0 
    50       4.189        -280           0           0 
    51       4.189        -280           0           0 
  59.5       4.189        -280           0           0 
  64.5       4.189        -280           0           0 
  79.5       4.189        -280           0           0 
  84.5       4.189        -280           0           0 
  99.5       4.189        -280           0           0 
 104.5       4.189        -280           0           0 
 119.5       4.189        -280           0           0 
 124.5       4.189        -280           0           0 
 139.5       4.189        -280           0           0 
 144.5       4.189        -280           0           0 
 159.5       4.189        -280           0           0 
 164.5       4.189        -280           0           0 
 179.5       4.189        -280           0           0 
 184.5       4.189        -280           0           0 
   199       4.189        -280           0           0 
 199.3       4.189        -280           0           0 
 199.5       4.189        -280           0           0 
   202       4.189        -280           0           0 
 209.5       4.189        -280           0           0 
   212       4.189        -280           0           0 
 219.5       4.189        -280           0           0 
   222       4.189        -280           0           0 
  14.5       4.712        -280           0           0 
    17       4.712        -280           0           0 
  24.5       4.712        -280           0           0 
    27       4.712        -280           0           0 
  34.5       4.712        -280           0           0 
    37       4.712        -280           0           0 
  44.5       4.712        -280           0           0 
    47       4.712        -280           0           0 
    49       4.712        -280           0           0 
    50       4.712        -280           0           0 
    51       4.712        -280           0           0 
  59.5       4.712        -280           0           0 
  64.5       4.712        -280           0           0 
  79.5       4.712        -280           0           0 
  84.5       4.712        -280           0           0 
  99.5       4.712        -280           0           0 
 104.5       4.712        -280           0           0 
 119.5       4.712        -280           0           0 
 124.5       4.712        -280           0           0 
 139.5       4.712        -280           0           0 
 144.5       4.712        -280           0           0 
 159.5       4.712        -280           0           0 
 164.5       4.712        -280           0           0 
 179.5       4.712        -280           0           0 
 184.5       4.712        -280           0           0 
   199       4.712        -280           0           0 
 199.3       4.712        -280           0           0 
 199.5       4.712        -280           0           0 
   202       4.712        -280           0           0 
 209.5       4.712        -280           0           0 
   212       4.712        -280           0           0 
 219.5       4.712        -280           0           0 
   222       4.712        -280           0           0 
  14.5       5.236        -280           0           0 
    17       5.236        -280           0           0 
  24.5       5.236        -280           0           0 
    27       5.236        -280           0           0 
  34.5       5.236        -280           0           0 
    37       5.236        -280           0           0 
  44.5       5.236        -280           0           0 
    47       5.236        -280           0           0 
    49       5.236        -280           0           0 
    50       5.236        -280           0           0 
    51       5.236        -280           0           0 
  59.5       5.236        -280           0           0 
  64.5       5.236        -280           0           0 
  79.5       5.236        -280           0           0 
  84.5       5.236        -280           0           0 
  99.5       5.236        -280           0           0 
 104.5       5.236        -280           0           0 
 119.5       5.236        -280           0           0 
 124.5       5.236        -280           0           0 
 139.5       5.236        -280           0           0 
 144.5       5.236        -280           0           0 
 159.5       5.236        -280           0           0 
 164.5       5.236        -280           0           0 
 179.5       5.236        -280           0           0 
 184.5       5.236        -280           0           0 
   199       5.236        -280           0           0 
 199.3       5.236        -280           0           0 
 199.5       5.236        -280           0           0 
   202       5.236        -280           0           0 
 209.5       5.236        -280           0           0 
   212       5.236        -280           0           0 
 219.5       5.236        -280           0           0 
   222       5.236        -280           0           0 
  14.5        5.76        -280           0           0 
    17        5.76        -280           0           0 
  24.5        5.76        -280           0           0 
    27        5.76        -280           0           0 
  34.5        5.76        -280           0           0 
    37        5.76        -280           0           0 
  44.5        5.76        -280           0           0 
    47        5.76        -280           0           0 
    49        5.76        -280           0           0 
    50        5.76        -280           0           0 
    51        5.76        -280           0           0 
  59.5        5.76        -280           0           0 
  64.5        5.76        -280           0           0 
  79.5        5.76        -280           0           0 
  84.5        5.76        -280           0           0 
  99.5        5.76        -280           0           0 
 104.5        5.76        -280           0           0 
 119.5        5.76        -280           0           0 
 124.5        5.76        -280           0           0 
 139.5        5.76        -280           0           0 
 144.5        5.76        -280           0           0 
 159.5        5.76        -280           0           0 
 164.5        5.76        -280           0           0 
 179.5        5.76        -280           0           0 
 184.5        5.76        -280           0           0 
   199        5.76        -280           0           0 
 199.3        5.76        -280           0           0 
 199.5        5.76        -280           0           0 
   202        5.76        -280           0           0 
 209.5        5.76        -280           0           0 
   212        5.76        -280           0           0 
 219.5        5.76        -280           0           0 
   222        5.76        -280           0           0 
  14.5           0        -270           0           0 
    17           0        -270           0           0 
  24.5           0        -270           0           0 
    27           0        -270           0           0 
  34.5           0        -270           0           0 
    37           0        -270           0           0 
  44.5           0        -270           0           0 
    47           0        -270           0           0 
    49           0        -270           0           0 
    50           0        -270           0           0 
    51           0        -270           0           0 
  59.5           0        -270           0           0 
  64.5           0        -270           0           0 
  79.5           0        -270           0           0 
  84.5           0        -270           0           0 
  99.5           0        -270           0           0 
 104.5           0        -270           0           0 
 119.5           0        -270           0           0 
 124.5           0        -270           0           0 
 139.5           0        -270           0           0 
 144.5           0        -270           0           0 
 159.5           0        -270           0           0 
 164.5           0        -270           0           0 
 179.5           0        -270           0           0 
 184.5           0        -270           0           0 
   199           0        -270           0           0 
 199.3           0        -270           0           0 
 199.5           0        -270           0           0 
   202           0        -270           0           0 
 209.5           0        -270           0           0 
   212           0        -270           0           0 
 219.5           0        -270           0           0 
   222           0        -270           0           0 
  14.5      0.5236        -270           0           0 
    17      0.5236        -270           0           0 
  24.5      0.5236        -270           0           0 
    27      0.5236        -270           0           0 
  34.5      0.5236        -270           0           0 
    37      0.5236        -270           0           0 
  44.5      0.5236        -270           0           0 
    47      0.5236        -270           0           0 
    49      0.5236        -270           0           0 
    50      0.5236        -270           0           0 
    51      0.5236        -270           0           0 
  59.5      0.5236        -270           0           0 
  64.5      0.5236        -270           0           0 
  79.5      0.5236        -270           0           0 
  84.5      0.5236        -270           0           0 
  99.5      0.5236        -270           0           0 
 104.5      0.5236        -270           0           0 
 119.5      0.5236        -270           0           0 
 124.5      0.5236        -270           0           0 
 139.5      0.5236        -270           0           0 
 144.5      0.5236        -270           0           0 
 159.5      0.5236        -270           0           0 
 164.5      0.5236        -270           0           0 
 179.5      0.5236        -270           0           0 
 184.5      0.5236        -270           0           0 
   199      0.5236        -270           0           0 
 199.3      0.5236        -270           0           0 
 199.5      0.5236        -270           0           0 
   202      0.5236        -270           0           0 
 209.5      0.5236        -270           0           0 
   212      0.5236        -270           0           0 
 219.5      0.5236        -270           0           0 
   222      0.5236        -270           0           0 
  14.5       1.047        -270           0           0 
    17       1.047        -270           0           0 
  24.5       1.047        -270           0           0 
    27       1.047        -270           0           0 
  34.5       1.047        -270           0           0 
    37       1.047        -270           0           0 
  44.5       1.047        -270           0           0 
    47       1.047        -270           0           0 
    49       1.047        -270           0           0 
    50       1.047        -270           0           0 
    51       1.047        -270           0           0 
  59.5       1.047        -270           0           0 
  64.5       1.047        -270           0           0 
  79.5       1.047        -270           0           0 
  84.5       1.047        -270           0           0 
  99.5       1.047        -270           0           0 
 104.5       1.047        -270           0           0 
 119.5       1.047        -270           0           0 
 124.5       1.047        -270           0           0 
 139.5       1.047        -270           0           0 
 144.5       1.047        -270           0           0 
 159.5       1.047        -270           0           0 
 164.5       1.047        -270           0           0 
 179.5       1.047        -270           0           0 
 184.5       1.047        -270           0           0 
   199       1.047        -270           0           0 
 199.3       1.047        -270           0           0 
 199.5       1.047        -270           0           0 
   202       1.047        -270           0           0 
 209.5       1.047        -270           0           0 
   212       1.047        -270           0           0 
 219.5       1.047        -270           0           0 
   222       1.047        -270           0           0 
  14.5       1.571        -270           0           0 
    17       1.571        -270           0           0 
  24.5       1.571        -270           0           0 
    27       1.571        -270           0           0 
  34.5       1.571        -270           0           0 
    37       1.571        -270           0           0 
  44.5       1.571        -270           0           0 
    47       1.571        -270           0           0 
    49       1.571        -270           0           0 
    50       1.571        -270           0           0 
    51       1.571        -270           0           0 
  59.5       1.571        -270           0           0 
  64.5       1.571        -270           0           0 
  79.5       1.571        -270           0           0 
  84.5       1.571        -270           0           0 
  99.5       1.571        -270           0           0 
 104.5       1.571        -270           0           0 
 119.5       1.571        -270           0           0 
 124.5       1.571        -270           0           0 
 139.5       1.571        -270           0           0 
 144.5       1.571        -270           0           0 
 159.5       1.571        -270           0           0 
 164.5       1.571        -270           0           0 
 179.5       1.571        -270           0           0 
 184.5       1.571        -270           0           0 
   199       1.571        -270           0           0 
 199.3       1.571        -270           0           0 
 199.5       1.571        -270           0           0 
   202       1.571        -270           0           0 
 209.5       1.571        -270           0           0 
   212       1.571        -270           0           0 
 219.5       1.571        -270           0           0 
   222       1.571        -270           0           0 
  14.5       2.094        -270           0           0 
    17       2.094        -270           0           0 
  24.5       2.094        -270           0           0 
    27       2.094        -270           0           0 
  34.5       2.094        -270           0           0 
    37       2.094        -270           0           0 
  44.5       2.094        -270           0           0 
    47       2.094        -270           0           0 
    49       2.094        -270           0           0 
    50       2.094        -270           0           0 
    51       2.094        -270           0           0 
  59.5       2.094        -270           0           0 
  64.5       2.094        -270           0           0 
  79.5       2.094        -270           0           0 
  84.5       2.094        -270           0           0 
  99.5       2.094        -270           0           0 
 104.5       2.094        -270           0           0 
 119.5       2.094        -270           0           0 
 124.5       2.094        -270           0           0 
 139.5       2.094        -270           0           0 
 144.5       2.094        -270           0           0 
 159.5       2.094        -270           0           0 
 164.5       2.094        -270           0           0 
 179.5       2.094        -270           0           0 
 184.5       2.094        -270           0           0 
   199       2.094        -270           0           0 
 199.3       2.094        -270           0           0 
 199.5       2.094        -270           0           0 
   202       2.094        -270           0           0 
 209.5       2.094        -270           0           0 
   212       2.094        -270           0           0 
 219.5       2.094        -270           0           0 
   222       2.094        -270           0           0 
  14.5       2.618        -270           0           0 
    17       2.618        -270           0           0 
  24.5       2.618        -270           0           0 
    27       2.618        -270           0           0 
  34.5       2.618        -270           0           0 
    37       2.618        -270           0           0 
  44.5       2.618        -270           0           0 
    47       2.618        -270           0           0 
    49       2.618        -270           0           0 
    50       2.618        -270           0           0 
    51       2.618        -270           0           0 
  59.5       2.618        -270           0           0 
  64.5       2.618        -270           0           0 
  79.5       2.618        -270           0           0 
  84.5       2.618        -270           0           0 
  99.5       2.618        -270           0           0 
 104.5       2.618        -270           0           0 
 119.5       2.618        -270           0           0 
 124.5       2.618        -270           0           0 
 139.5       2.618        -270           0           0 
 144.5       2.618        -270           0           0 
 159.5       2.618        -270           0           0 
 164.5       2.618        -270           0           0 
 179.5       2.618        -270           0           0 
 184.5       2.618        -270           0           0 
   199       2.618        -270           0           0 
 199.3       2.618        -270           0           0 
 199.5       2.618        -270           0           0 
   202       2.618        -270           0           0 
 209.5       2.618        -270           0           0 
   212       2.618        -270           0           0 
 219.5       2.618        -270           0           0 
   222       2.618        -270           0           0 
  14.5       3.142        -270           0           0 
    17       3.142        -270           0           0 
  24.5       3.142        -270           0           0 
    27       3.142        -270           0           0 
  34.5       3.142        -270           0           0 
    37       3.142        -270           0           0 
  44.5       3.142        -270           0           0 
    47       3.142        -270           0           0 
    49       3.142        -270           0           0 
    50       3.142        -270           0           0 
    51       3.142        -270           0           0 
  59.5       3.142        -270           0           0 
  64.5       3.142        -270           0           0 
  79.5       3.142        -270           0           0 
  84.5       3.142        -270           0           0 
  99.5       3.142        -270           0           0 
 104.5       3.142        -270           0           0 
 119.5       3.142        -270           0           0 
 124.5       3.142        -270           0           0 
 139.5       3.142        -270           0           0 
 144.5       3.142        -270           0           0 
 159.5       3.142        -270           0           0 
 164.5       3.142        -270           0           0 
 179.5       3.142        -270           0           0 
 184.5       3.142        -270           0           0 
   199       3.142        -270           0           0 
 199.3       3.142        -270           0           0 
 199.5       3.142        -270           0           0 
   202       3.142        -270           0           0 
 209.5       3.142        -270           0           0 
   212       3.142        -270           0           0 
 219.5       3.142        -270           0           0 
   222       3.142        -270           0           0 
  14.5       3.665        -270           0           0 
    17       3.665        -270           0           0 
  24.5       3.665        -270           0           0 
    27       3.665        -270           0           0 
  34.5       3.665        -270           0           0 
    37       3.665        -270           0           0 
  44.5       3.665        -270           0           0 
    47       3.665        -270           0           0 
    49       3.665        -270           0           0 
    50       3.665        -270           0           0 
    51       3.665        -270           0           0 
  59.5       3.665        -270           0           0 
  64.5       3.665        -270           0           0 
  79.5       3.665        -270           0           0 
  84.5       3.665        -270           0           0 
  99.5       3.665        -270           0           0 
 104.5       3.665        -270           0           0 
 119.5       3.665        -270           0           0 
 124.5       3.665        -270           0           0 
 139.5       3.665        -270           0           0 
 144.5       3.665        -270           0           0 
 159.5       3.665        -270           0           0 
 164.5       3.665        -270           0           0 
 179.5       3.665        -270           0           0 
 184.5       3.665        -270           0           0 
   199       3.665        -270           0           0 
 199.3       3.665        -270           0           0 
 199.5       3.665        -270           0           0 
   202       3.665        -270           0           0 
 209.5       3.665        -270           0           0 
   212       3.665        -270           0           0 
 219.5       3.665        -270           0           0 
   222       3.665        -270           0           0 
  14.5       4.189        -270           0           0 
    17       4.189        -270           0           0 
  24.5       4.189        -270           0           0 
    27       4.189        -270           0           0 
  34.5       4.189        -270           0           0 
    37       4.189        -270           0           0 
  44.5       4.189        -270           0           0 
    47       4.189        -270           0           0 
    49       4.189        -270           0           0 
    50       4.189        -270           0           0 
    51       4.189        -270           0           0 
  59.5       4.189        -270           0           0 
  64.5       4.189        -270           0           0 
  79.5       4.189        -270           0           0 
  84.5       4.189        -270           0           0 
  99.5       4.189        -270           0           0 
 104.5       4.189        -270           0           0 
 119.5       4.189        -270           0           0 
 124.5       4.189        -270           0           0 
 139.5       4.189        -270           0           0 
 144.5       4.189        -270           0           0 
 159.5       4.189        -270           0           0 
 164.5       4.189        -270           0           0 
 179.5       4.189        -270           0           0 
 184.5       4.189        -270           0           0 
   199       4.189        -270           0           0 
 199.3       4.189        -270           0           0 
 199.5       4.189        -270           0           0 
   202       4.189        -270           0           0 
 209.5       4.189        -270           0           0 
   212       4.189        -270           0           0 
 219.5       4.189        -270           0           0 
   222       4.189        -270           0           0 
  14.5       4.712        -270           0           0 
    17       4.712        -270           0           0 
  24.5       4.712        -270           0           0 
    27       4.712        -270           0           0 
  34.5       4.712        -270           0           0 
    37       4.712        -270           0           0 
  44.5       4.712        -270           0           0 
    47       4.712        -270           0           0 
    49       4.712        -270           0           0 
    50       4.712        -270           0           0 
    51       4.712        -270           0           0 
  59.5       4.712        -270           0           0 
  64.5       4.712        -270           0           0 
  79.5       4.712        -270           0           0 
  84.5       4.712        -270           0           0 
  99.5       4.712        -270           0           0 
 104.5       4.712        -270           0           0 
 119.5       4.712        -270           0           0 
 124.5       4.712        -270           0           0 
 139.5       4.712        -270           0           0 
 144.5       4.712        -270           0           0 
 159.5       4.712        -270           0           0 
 164.5       4.712        -270           0           0 
 179.5       4.712        -270           0           0 
 184.5       4.712        -270           0           0 
   199       4.712        -270           0           0 
 199.3       4.712        -270           0           0 
 199.5       4.712        -270           0           0 
   202       4.712        -270           0           0 
 209.5       4.712        -270           0           0 
   212       4.712        -270           0           0 
 219.5       4.712        -270           0           0 
   222       4.712        -270           0           0 
  14.5       5.236        -270           0           0 
    17       5.236        -270           0           0 
  24.5       5.236        -270           0           0 
    27       5.236        -270           0           0 
  34.5       5.236        -270           0           0 
    37       5.236        -270           0           0 
  44.5       5.236        -270           0           0 
    47       5.236        -270           0           0 
    49       5.236        -270           0           0 
    50       5.236        -270           0           0 
    51       5.236        -270           0           0 
  59.5       5.236        -270           0           0 
  64.5       5.236        -270           0           0 
  79.5       5.236        -270           0           0 
  84.5       5.236        -270           0           0 
  99.5       5.236        -270           0           0 
 104.5       5.236        -270           0           0 
 119.5       5.236        -270           0           0 
 124.5       5.236        -270           0           0 
 139.5       5.236        -270           0           0 
 144.5       5.236        -270           0           0 
 159.5       5.236        -270           0           0 
 164.5       5.236        -270           0           0 
 179.5       5.236        -270           0           0 
 184.5       5.236        -270           0           0 
   199       5.236        -270           0           0 
 199.3       5.236        -270           0           0 
 199.5       5.236        -270           0           0 
   202       5.236        -270           0           0 
 209.5       5.236        -270           0           0 
   212       5.236        -270           0           0 
 219.5       5.236        -270           0           0 
   222       5.236        -270           0           0 
  14.5        5.76        -270           0           0 
    17        5.76        -270           0           0 
  24.5        5.76        -270           0           0 
    27        5.76        -270           0           0 
  34.5        5.76        -270           0           0 
    37        5.76        -270           0           0 
  44.5        5.76        -270           0           0 
    47        5.76        -270           0           0 
    49        5.76        -270           0           0 
    50        5.76        -270           0           0 
    51        5.76        -270           0           0 
  59.5        5.76        -270           0           0 
  64.5        5.76        -270           0           0 
  79.5        5.76        -270           0           0 
  84.5        5.76        -270           0           0 
  99.5        5.76        -270           0           0 
 104.5        5.76        -270           0           0 
 119.5        5.76        -270           0           0 
 124.5        5.76        -270           0           0 
 139.5        5.76        -270           0           0 
 144.5        5.76        -270           0           0 
 159.5        5.76        -270           0           0 
 164.5        5.76        -270           0           0 
 179.5        5.76        -270           0           0 
 184.5        5.76        -270           0           0 
   199        5.76        -270           0           0 
 199.3        5.76        -270           0           0 
 199.5        5.76        -270           0           0 
   202        5.76        -270           0           0 
 209.5        5.76        -270           0           0 
   212        5.76        -270           0           0 
 219.5        5.76        -270           0           0 
   222        5.76        -270           0           0 
  14.5           0        -260           0           0 
    17           0        -260           0           0 
  24.5           0        -260           0           0 
    27           0        -260           0           0 
  34.5           0        -260           0           0 
    37           0        -260           0           0 
  44.5           0        -260           0           0 
    47           0        -260           0           0 
    49           0        -260           0           0 
    50           0        -260           0           0 
