#  FGT mapping, timeStamp date=20120127  time=174050
# electId,geoID,   RDO(1;2),ARM(0-4),APV(0-9;12-21),chan(0-127),    disk(1-6),quad(A-D),layer(P;R),strip(P:0-719;R0-279+400-679),   ordinate(rad;cm),lowSpan(cm;rad),upSpan(cm;rad), geoName,  stat,ped(ADC),sigPed(ADC)
17359,4070,  2,0,17,79,  1,C,P,470,   0.5539,11.500,35.853,  1CP470,   0,414.0,28.9
17360,3528,  2,0,17,80,  1,C,R,648,   14.4953,0.083,0.784,  1CR648,   0,450.0,22.5
17361,3529,  2,0,17,81,  1,C,R,649,   14.3999,0.083,0.784,  1CR649,   0,450.0,22.5
17362,4106,  2,0,17,82,  1,C,P,506,   0.4785,11.500,35.920,  1CP506,   0,450.0,26.4
17363,4080,  2,0,17,83,  1,C,P,480,   0.5330,11.500,35.851,  1CP480,   0,426.0,28.9
17364,4100,  2,0,17,84,  1,C,P,500,   0.4911,11.500,35.895,  1CP500,   0,450.0,23.4
17365,4044,  2,0,17,85,  1,C,P,444,   0.6084,11.500,35.931,  1CP444,   0,414.0,29.4
17366,3527,  2,0,17,86,  1,C,R,647,   14.5907,0.082,0.784,  1CR647,   0,474.0,17.8
17367,3517,  2,0,17,87,  1,C,R,637,   15.5445,0.077,0.784,  1CR637,   0,462.0,18.3
17368,3526,  2,0,17,88,  1,C,R,646,   14.6861,0.082,0.784,  1CR646,   0,462.0,18.7
17369,4048,  2,0,17,89,  1,C,P,448,   0.6000,11.500,35.912,  1CP448,   0,438.0,23.2
17370,4076,  2,0,17,90,  1,C,P,476,   0.5414,11.500,35.850,  1CP476,   0,450.0,32.9
17371,4046,  2,0,17,91,  1,C,P,446,   0.6042,11.500,35.922,  1CP446,   0,438.0,32.1
17372,3525,  2,0,17,92,  1,C,R,645,   14.7815,0.081,0.784,  1CR645,   0,474.0,18.8
17373,4064,  2,0,17,93,  1,C,P,464,   0.5665,11.500,35.862,  1CP464,   0,474.0,31.7
17374,3524,  2,0,17,94,  1,C,R,644,   14.8768,0.080,0.784,  1CR644,   0,510.0,19.8
17375,4060,  2,0,17,95,  1,C,P,460,   0.5749,11.500,35.870,  1CP460,   0,474.0,34.0
17376,3512,  2,0,17,96,  1,C,R,632,   16.0214,0.075,0.784,  1CR632,   0,366.0,20.9
17377,4052,  2,0,17,97,  1,C,P,452,   0.5916,11.500,35.896,  1CP452,   0,330.0,28.5
17378,4092,  2,0,17,98,  1,C,P,492,   0.5079,11.500,35.870,  1CP492,   0,354.0,22.8
17379,4050,  2,0,17,99,  1,C,P,450,   0.5958,11.500,35.904,  1CP450,   0,306.0,21.7
17380,4084,  2,0,17,100,  1,C,P,484,   0.5246,11.500,35.855,  1CP484,   0,342.0,24.1
17381,4056,  2,0,17,101,  1,C,P,456,   0.5833,11.500,35.882,  1CP456,   0,342.0,27.7
17382,3523,  2,0,17,102,  1,C,R,643,   14.9722,0.080,0.784,  1CR643,   0,354.0,20.5
17383,4074,  2,0,17,103,  1,C,P,474,   0.5456,11.500,35.850,  1CP474,   0,330.0,26.6
17384,3522,  2,0,17,104,  1,C,R,642,   15.0676,0.079,0.784,  1CR642,   0,390.0,17.7
17385,4054,  2,0,17,105,  1,C,P,454,   0.5875,11.500,35.889,  1CP454,   0,354.0,28.9
17386,3521,  2,0,17,106,  1,C,R,641,   15.1630,0.079,0.784,  1CR641,   0,390.0,17.6
17387,4072,  2,0,17,107,  1,C,P,472,   0.5498,11.500,35.851,  1CP472,   0,354.0,28.3
17388,4086,  2,0,17,108,  1,C,P,486,   0.5204,11.500,35.858,  1CP486,   0,378.0,22.4
17389,4066,  2,0,17,109,  1,C,P,466,   0.5623,11.500,35.858,  1CP466,   0,354.0,27.7
17390,3520,  2,0,17,110,  1,C,R,640,   15.2584,0.078,0.784,  1CR640,   0,390.0,16.5
17391,4062,  2,0,17,111,  1,C,P,462,   0.5707,11.500,35.866,  1CP462,   0,366.0,27.2
17392,4078,  2,0,17,112,  1,C,P,478,   0.5372,11.500,35.850,  1CP478,   0,342.0,28.2
17393,4058,  2,0,17,113,  1,C,P,458,   0.5791,11.500,35.876,  1CP458,   0,390.0,22.1
17394,3514,  2,0,17,114,  1,C,R,634,   15.8306,0.076,0.784,  1CR634,   0,402.0,18.4
17395,4088,  2,0,17,115,  1,C,P,488,   0.5162,11.500,35.861,  1CP488,   0,354.0,28.4
17396,3519,  2,0,17,116,  1,C,R,639,   15.3537,0.078,0.784,  1CR639,   0,390.0,20.7
17397,4082,  2,0,17,117,  1,C,P,482,   0.5288,11.500,35.853,  1CP482,   0,378.0,26.7
17398,3518,  2,0,17,118,  1,C,R,638,   15.4491,0.078,0.784,  1CR638,   0,414.0,21.1
17399,3515,  2,0,17,119,  1,C,R,635,   15.7353,0.076,0.784,  1CR635,   0,402.0,18.3
17400,3516,  2,0,17,120,  1,C,R,636,   15.6399,0.077,0.784,  1CR636,   0,354.0,22.5
17401,3511,  2,0,17,121,  1,C,R,631,   16.1168,0.074,0.784,  1CR631,   0,378.0,18.9
17402,4068,  2,0,17,122,  1,C,P,468,   0.5581,11.500,35.855,  1CP468,   0,354.0,26.0
17403,4096,  2,0,17,123,  1,C,P,496,   0.4995,11.500,35.881,  1CP496,   0,366.0,23.9
17404,3507,  2,0,17,124,  1,C,R,627,   16.4983,0.073,0.784,  1CR627,   0,366.0,18.3
17405,4098,  2,0,17,125,  1,C,P,498,   0.4953,11.500,35.888,  1CP498,   0,378.0,26.4
17406,3506,  2,0,17,126,  1,C,R,626,   16.5937,0.072,0.784,  1CR626,   0,390.0,20.7
17407,4102,  2,0,17,127,  1,C,P,502,   0.4869,11.500,35.903,  1CP502,   7,6.0,0.0
17408,3495,  2,0,18,0,  1,C,R,615,   17.6429,0.068,0.784,  1CR615,   0,318.0,25.0
17409,4108,  2,0,18,1,  1,C,P,508,   0.4743,11.500,35.930,  1CP508,   0,222.0,12.6
17410,3493,  2,0,18,2,  1,C,R,613,   17.8336,0.067,0.784,  1CR613,   6,222.0,6.6
17411,4114,  2,0,18,3,  1,C,P,514,   0.4618,11.500,35.963,  1CP514,   2,222.0,9.9
17412,3489,  2,0,18,4,  1,C,R,609,   18.2151,0.066,0.784,  1CR609,   0,222.0,15.8
17413,4112,  2,0,18,5,  1,C,P,512,   0.4660,11.500,35.951,  1CP512,   6,222.0,8.0
17414,4110,  2,0,18,6,  1,C,P,510,   0.4702,11.500,35.940,  1CP510,   2,222.0,8.9
17415,4116,  2,0,18,7,  1,C,P,516,   0.4576,11.500,35.975,  1CP516,   0,222.0,12.9
17416,3492,  2,0,18,8,  1,C,R,612,   17.9290,0.067,0.784,  1CR612,   0,246.0,16.3
17417,4128,  2,0,18,9,  1,C,P,528,   0.4325,11.500,36.062,  1CP528,   0,222.0,16.8
17418,4140,  2,0,18,10,  1,C,P,540,   0.4073,11.500,36.173,  1CP540,   0,222.0,14.5
17419,4124,  2,0,18,11,  1,C,P,524,   0.4408,11.500,36.031,  1CP524,   0,222.0,16.5
17420,4148,  2,0,18,12,  1,C,P,548,   0.3906,11.500,36.260,  1CP548,   0,222.0,16.2
17421,4120,  2,0,18,13,  1,C,P,520,   0.4492,11.500,36.002,  1CP520,   0,222.0,12.2
17422,4154,  2,0,18,14,  1,C,P,554,   0.3780,11.500,36.332,  1CP554,   0,222.0,18.6
17423,4150,  2,0,18,15,  1,C,P,550,   0.3864,11.500,36.283,  1CP550,   4,222.0,19.2
17424,3501,  2,0,18,16,  1,C,R,621,   17.0706,0.070,0.784,  1CR621,   0,234.0,13.4
17425,3486,  2,0,18,17,  1,C,R,606,   18.5013,0.065,0.784,  1CR606,   4,222.0,24.3
17426,3500,  2,0,18,18,  1,C,R,620,   17.1660,0.070,0.784,  1CR620,   2,222.0,5.8
17427,4144,  2,0,18,19,  1,C,P,544,   0.3989,11.500,36.215,  1CP544,   4,222.0,19.8
17428,4164,  2,0,18,20,  1,C,P,564,   0.3570,11.500,36.466,  1CP564,   4,222.0,18.9
17429,3490,  2,0,18,21,  1,C,R,610,   18.1198,0.066,0.784,  1CR610,   0,270.0,23.1
17430,3494,  2,0,18,22,  1,C,R,614,   17.7382,0.068,0.784,  1CR614,   0,222.0,12.1
17431,4134,  2,0,18,23,  1,C,P,534,   0.4199,11.500,36.115,  1CP534,   4,222.0,19.1
17432,3485,  2,0,18,24,  1,C,R,605,   18.5967,0.064,0.784,  1CR605,   0,306.0,24.5
17433,4160,  2,0,18,25,  1,C,P,560,   0.3654,11.500,36.410,  1CP560,   0,270.0,31.7
17434,4156,  2,0,18,26,  1,C,P,556,   0.3738,11.500,36.357,  1CP556,   0,270.0,32.2
17435,4158,  2,0,18,27,  1,C,P,558,   0.3696,11.500,36.383,  1CP558,   0,270.0,30.8
17436,4162,  2,0,18,28,  1,C,P,562,   0.3612,11.500,36.438,  1CP562,   0,282.0,32.2
17437,4130,  2,0,18,29,  1,C,P,530,   0.4283,11.500,36.079,  1CP530,   4,222.0,28.7
17438,3483,  2,0,18,30,  1,C,R,603,   18.7874,0.064,0.784,  1CR603,   0,318.0,24.5
17439,4152,  2,0,18,31,  1,C,P,552,   0.3822,11.500,36.307,  1CP552,   0,282.0,30.4
17440,4170,  2,0,18,32,  1,C,P,570,   0.3445,11.500,36.554,  1CP570,   0,366.0,33.0
17441,4166,  2,0,18,33,  1,C,P,566,   0.3529,11.500,36.494,  1CP566,   0,294.0,32.1
17442,4122,  2,0,18,34,  1,C,P,522,   0.4450,11.500,36.016,  1CP522,   0,234.0,16.4
17443,3488,  2,0,18,35,  1,C,R,608,   18.3105,0.065,0.784,  1CR608,   0,270.0,23.8
17444,4138,  2,0,18,36,  1,C,P,538,   0.4115,11.500,36.153,  1CP538,   0,234.0,16.6
17445,4142,  2,0,18,37,  1,C,P,542,   0.4031,11.500,36.194,  1CP542,   4,234.0,19.1
17446,4172,  2,0,18,38,  1,C,P,572,   0.3403,11.500,36.585,  1CP572,   0,330.0,31.8
17447,3484,  2,0,18,39,  1,C,R,604,   18.6920,0.064,0.784,  1CR604,   6,234.0,6.3
17448,3481,  2,0,18,40,  1,C,R,601,   18.9782,0.063,0.784,  1CR601,   0,342.0,24.3
17449,3482,  2,0,18,41,  1,C,R,602,   18.8828,0.063,0.784,  1CR602,   0,318.0,23.1
17450,3491,  2,0,18,42,  1,C,R,611,   18.0244,0.066,0.784,  1CR611,   0,234.0,15.7
17451,4136,  2,0,18,43,  1,C,P,536,   0.4157,11.500,36.133,  1CP536,   4,234.0,19.3
17452,4118,  2,0,18,44,  1,C,P,518,   0.4534,11.500,35.988,  1CP518,   0,234.0,11.5
17453,4132,  2,0,18,45,  1,C,P,532,   0.4241,11.500,36.097,  1CP532,   0,234.0,18.4
17454,4178,  2,0,18,46,  1,C,P,578,   0.3277,11.500,36.681,  1CP578,   0,330.0,30.3
17455,4168,  2,0,18,47,  1,C,P,568,   0.3487,11.500,36.524,  1CP568,   0,306.0,30.3
17456,4180,  2,0,18,48,  1,C,P,580,   0.3235,11.500,36.715,  1CP580,   0,330.0,29.9
17457,4176,  2,0,18,49,  1,C,P,576,   0.3319,11.500,36.649,  1CP576,   0,330.0,30.7
17458,3505,  2,0,18,50,  1,C,R,625,   16.6891,0.072,0.784,  1CR625,   0,234.0,13.0
17459,4126,  2,0,18,51,  1,C,P,526,   0.4366,11.500,36.046,  1CP526,   0,234.0,15.3
17460,3502,  2,0,18,52,  1,C,R,622,   16.9752,0.071,0.784,  1CR622,   0,234.0,16.8
17461,3487,  2,0,18,53,  1,C,R,607,   18.4059,0.065,0.784,  1CR607,   0,294.0,22.5
17462,3499,  2,0,18,54,  1,C,R,619,   17.2613,0.069,0.784,  1CR619,   0,282.0,21.4
17463,4174,  2,0,18,55,  1,C,P,574,   0.3361,11.500,36.616,  1CP574,   0,330.0,30.1
17464,3496,  2,0,18,56,  1,C,R,616,   17.5475,0.068,0.784,  1CR616,   0,282.0,21.6
17465,4146,  2,0,18,57,  1,C,P,546,   0.3947,11.500,36.237,  1CP546,   4,234.0,19.2
17466,3497,  2,0,18,58,  1,C,R,617,   17.4521,0.069,0.784,  1CR617,   0,294.0,21.9
17467,3503,  2,0,18,59,  1,C,R,623,   16.8798,0.071,0.784,  1CR623,   4,234.0,16.9
17468,3498,  2,0,18,60,  1,C,R,618,   17.3567,0.069,0.784,  1CR618,   0,294.0,21.5
17469,3504,  2,0,18,61,  1,C,R,624,   16.7844,0.071,0.784,  1CR624,   0,270.0,22.4
17470,3479,  2,0,18,62,  1,C,R,599,   19.1764,0.062,0.784,  1CR599,   0,330.0,28.2
17471,3480,  2,0,18,63,  1,C,R,600,   19.0736,0.063,0.784,  1CR600,   0,330.0,22.8
17472,3965,  2,0,18,64,  1,C,P,365,   0.7739,19.125,36.844,  1CP365,   0,330.0,30.1
17473,4029,  2,0,18,65,  1,C,P,429,   0.6398,19.125,36.026,  1CP429,   0,426.0,31.7
17474,3456,  2,0,18,66,  1,C,R,576,   21.3702,0.056,0.784,  1CR576,   0,378.0,30.0
17475,3961,  2,0,18,67,  1,C,P,361,   0.7823,19.125,36.919,  1CP361,   0,282.0,28.8
17476,3455,  2,0,18,68,  1,C,R,575,   21.4656,0.056,0.784,  1CR575,   0,414.0,30.4
17477,3963,  2,0,18,69,  1,C,P,363,   0.7781,19.125,36.881,  1CP363,   0,294.0,29.1
17478,3967,  2,0,18,70,  1,C,P,367,   0.7697,19.125,36.808,  1CP367,   0,282.0,28.9
17479,4017,  2,0,18,71,  1,C,P,417,   0.6650,19.125,36.127,  1CP417,   0,402.0,29.5
17480,3477,  2,0,18,72,  1,C,R,597,   19.3672,0.062,0.784,  1CR597,   0,354.0,27.2
17481,3478,  2,0,18,73,  1,C,R,598,   19.2718,0.062,0.784,  1CR598,   0,318.0,26.3
17482,3453,  2,0,18,74,  1,C,R,573,   21.6563,0.055,0.784,  1CR573,   0,414.0,33.5
17483,4013,  2,0,18,75,  1,C,P,413,   0.6733,19.125,36.166,  1CP413,   0,378.0,27.9
17484,3454,  2,0,18,76,  1,C,R,574,   21.5609,0.056,0.784,  1CR574,   0,414.0,33.9
17485,3969,  2,0,18,77,  1,C,P,369,   0.7655,19.125,36.772,  1CP369,   0,282.0,28.4
17486,3973,  2,0,18,78,  1,C,P,373,   0.7571,19.125,36.703,  1CP373,   0,306.0,28.4
17487,3465,  2,0,18,79,  1,C,R,585,   20.5118,0.058,0.784,  1CR585,   0,390.0,28.2
17488,3975,  2,0,18,80,  1,C,P,375,   0.7529,19.125,36.670,  1CP375,   0,306.0,28.9
17489,3971,  2,0,18,81,  1,C,P,371,   0.7613,19.125,36.737,  1CP371,   0,294.0,28.0
17490,4031,  2,0,18,82,  1,C,P,431,   0.6356,19.125,36.011,  1CP431,   0,414.0,34.9
17491,4009,  2,0,18,83,  1,C,P,409,   0.6817,19.125,36.208,  1CP409,   0,390.0,28.5
17492,4025,  2,0,18,84,  1,C,P,425,   0.6482,19.125,36.057,  1CP425,   0,414.0,29.7
17493,3476,  2,0,18,85,  1,C,R,596,   19.4626,0.062,0.784,  1CR596,   0,306.0,26.6
17494,3475,  2,0,18,86,  1,C,R,595,   19.5580,0.061,0.784,  1CR595,   0,318.0,15.5
17495,4001,  2,0,18,87,  1,C,P,401,   0.6985,19.125,36.299,  1CP401,   0,366.0,28.4
17496,3981,  2,0,18,88,  1,C,P,381,   0.7404,19.125,36.574,  1CP381,   0,318.0,12.6
17497,3979,  2,0,18,89,  1,C,P,379,   0.7446,19.125,36.605,  1CP379,   0,306.0,29.1
17498,3463,  2,0,18,90,  1,C,R,583,   20.7025,0.058,0.784,  1CR583,   0,402.0,31.0
17499,3977,  2,0,18,91,  1,C,P,377,   0.7487,19.125,36.637,  1CP377,   0,330.0,25.0
17500,3983,  2,0,18,92,  1,C,P,383,   0.7362,19.125,36.543,  1CP383,   0,318.0,30.2
17501,3997,  2,0,18,93,  1,C,P,397,   0.7068,19.125,36.348,  1CP397,   0,378.0,28.2
17502,3473,  2,0,18,94,  1,C,R,593,   19.7487,0.061,0.784,  1CR593,   0,354.0,47.5
17503,3993,  2,0,18,95,  1,C,P,393,   0.7152,19.125,36.401,  1CP393,   0,354.0,29.0
17504,3458,  2,0,18,96,  1,C,R,578,   21.1794,0.057,0.784,  1CR578,   0,438.0,34.4
17505,3985,  2,0,18,97,  1,C,P,385,   0.7320,19.125,36.514,  1CP385,   0,354.0,41.4
17506,3457,  2,0,18,98,  1,C,R,577,   21.2748,0.056,0.784,  1CR577,   0,438.0,33.3
17507,3474,  2,0,18,99,  1,C,R,594,   19.6533,0.061,0.784,  1CR594,   0,330.0,25.4
17508,3460,  2,0,18,100,  1,C,R,580,   20.9887,0.057,0.784,  1CR580,   0,414.0,33.0
17509,3989,  2,0,18,101,  1,C,P,389,   0.7236,19.125,36.456,  1CP389,   0,366.0,31.4
17510,3472,  2,0,18,102,  1,C,R,592,   19.8441,0.060,0.784,  1CR592,   0,402.0,28.9
17511,4005,  2,0,18,103,  1,C,P,405,   0.6901,19.125,36.252,  1CP405,   0,414.0,30.2
17512,3471,  2,0,18,104,  1,C,R,591,   19.9395,0.060,0.784,  1CR591,   0,414.0,30.0
17513,3987,  2,0,18,105,  1,C,P,387,   0.7278,19.125,36.484,  1CP387,   0,330.0,31.8
17514,3470,  2,0,18,106,  1,C,R,590,   20.0349,0.060,0.784,  1CR590,   0,390.0,31.7
17515,4003,  2,0,18,107,  1,C,P,403,   0.6943,19.125,36.275,  1CP403,   0,438.0,31.6
17516,3459,  2,0,18,108,  1,C,R,579,   21.0840,0.057,0.784,  1CR579,   0,426.0,34.6
17517,3999,  2,0,18,109,  1,C,P,399,   0.7027,19.125,36.323,  1CP399,   0,390.0,31.3
17518,3469,  2,0,18,110,  1,C,R,589,   20.1302,0.060,0.784,  1CR589,   0,402.0,31.8
17519,3995,  2,0,18,111,  1,C,P,395,   0.7110,19.125,36.374,  1CP395,   0,378.0,32.0
17520,3462,  2,0,18,112,  1,C,R,582,   20.7979,0.058,0.784,  1CR582,   0,438.0,36.0
17521,3991,  2,0,18,113,  1,C,P,391,   0.7194,19.125,36.428,  1CP391,   0,378.0,32.8
17522,3461,  2,0,18,114,  1,C,R,581,   20.8933,0.057,0.784,  1CR581,   0,474.0,37.1
17523,4015,  2,0,18,115,  1,C,P,415,   0.6691,19.125,36.146,  1CP415,   0,462.0,33.6
17524,3468,  2,0,18,116,  1,C,R,588,   20.2256,0.059,0.784,  1CR588,   0,402.0,35.2
17525,4011,  2,0,18,117,  1,C,P,411,   0.6775,19.125,36.187,  1CP411,   0,450.0,34.0
17526,3467,  2,0,18,118,  1,C,R,587,   20.3210,0.059,0.784,  1CR587,   0,426.0,35.5
17527,4007,  2,0,18,119,  1,C,P,407,   0.6859,19.125,36.229,  1CP407,   0,438.0,34.4
17528,3464,  2,0,18,120,  1,C,R,584,   20.6071,0.058,0.784,  1CR584,   0,486.0,40.2
17529,4019,  2,0,18,121,  1,C,P,419,   0.6608,19.125,36.108,  1CP419,   0,474.0,36.9
17530,3466,  2,0,18,122,  1,C,R,586,   20.4164,0.059,0.784,  1CR586,   0,462.0,38.6
17531,4021,  2,0,18,123,  1,C,P,421,   0.6566,19.125,36.091,  1CP421,   0,474.0,38.8
17532,3452,  2,0,18,124,  1,C,R,572,   21.7517,0.055,0.784,  1CR572,   0,486.0,40.7
17533,4023,  2,0,18,125,  1,C,P,423,   0.6524,19.125,36.073,  1CP423,   0,498.0,38.0
17534,3451,  2,0,18,126,  1,C,R,571,   21.8471,0.055,0.784,  1CR571,   0,534.0,45.7
17535,4027,  2,0,18,127,  1,C,P,427,   0.6440,19.125,36.041,  1CP427,   0,546.0,41.2
17536,3440,  2,0,19,0,  1,C,R,560,   22.8963,0.052,0.784,  1CR560,   0,330.0,38.4
17537,4033,  2,0,19,1,  1,C,P,433,   0.6314,19.125,35.997,  1CP433,   0,318.0,38.6
17538,3438,  2,0,19,2,  1,C,R,558,   23.0870,0.052,0.784,  1CR558,   0,330.0,34.9
17539,4039,  2,0,19,3,  1,C,P,439,   0.6189,19.125,35.959,  1CP439,   0,330.0,35.7
17540,3433,  2,0,19,4,  1,C,R,553,   23.5639,0.051,0.784,  1CR553,   0,258.0,21.4
17541,4037,  2,0,19,5,  1,C,P,437,   0.6231,19.125,35.971,  1CP437,   0,306.0,36.4
17542,4035,  2,0,19,6,  1,C,P,435,   0.6273,19.125,35.984,  1CP435,   0,306.0,38.0
17543,4041,  2,0,19,7,  1,C,P,441,   0.6147,19.125,35.947,  1CP441,   0,306.0,34.4
17544,3437,  2,0,19,8,  1,C,R,557,   23.1824,0.052,0.784,  1CR557,   0,330.0,35.6
17545,4053,  2,0,19,9,  1,C,P,453,   0.5895,19.125,35.892,  1CP453,   0,330.0,34.2
17546,3434,  2,0,19,10,  1,C,R,554,   23.4685,0.051,0.784,  1CR554,   0,294.0,36.2
17547,4049,  2,0,19,11,  1,C,P,449,   0.5979,19.125,35.908,  1CP449,   0,306.0,35.2
17548,3431,  2,0,19,12,  1,C,R,551,   23.7547,0.050,0.784,  1CR551,   0,306.0,34.8
17549,4045,  2,0,19,13,  1,C,P,445,   0.6063,19.125,35.926,  1CP445,   0,330.0,35.9
17550,3429,  2,0,19,14,  1,C,R,549,   23.9454,0.050,0.784,  1CR549,   0,306.0,34.2
17551,4071,  2,0,19,15,  1,C,P,471,   0.5518,19.125,35.852,  1CP471,   0,330.0,31.1
17552,3446,  2,0,19,16,  1,C,R,566,   22.3240,0.054,0.784,  1CR566,   0,318.0,34.3
17553,4075,  2,0,19,17,  1,C,P,475,   0.5435,19.125,35.850,  1CP475,   0,330.0,30.0
17554,3445,  2,0,19,18,  1,C,R,565,   22.4194,0.053,0.784,  1CR565,   0,282.0,34.7
17555,4067,  2,0,19,19,  1,C,P,467,   0.5602,19.125,35.857,  1CP467,   0,342.0,32.0
17556,3425,  2,0,19,20,  1,C,R,545,   24.3270,0.049,0.784,  1CR545,   0,342.0,32.3
17557,4063,  2,0,19,21,  1,C,P,463,   0.5686,19.125,35.864,  1CP463,   0,378.0,30.1
17558,3439,  2,0,19,22,  1,C,R,559,   22.9916,0.052,0.784,  1CR559,   0,294.0,32.0
17559,4059,  2,0,19,23,  1,C,P,459,   0.5770,19.125,35.873,  1CP459,   0,342.0,30.6
17560,3427,  2,0,19,24,  1,C,R,547,   24.1362,0.050,0.784,  1CR547,   0,318.0,31.4
17561,4079,  2,0,19,25,  1,C,P,479,   0.5351,19.125,35.851,  1CP479,   0,330.0,29.3
17562,3428,  2,0,19,26,  1,C,R,548,   24.0408,0.050,0.784,  1CR548,   0,342.0,30.5
17563,4077,  2,0,19,27,  1,C,P,477,   0.5393,19.125,35.850,  1CP477,   0,342.0,29.0
17564,3426,  2,0,19,28,  1,C,R,546,   24.2316,0.049,0.784,  1CR546,   0,342.0,30.8
17565,4055,  2,0,19,29,  1,C,P,455,   0.5854,19.125,35.885,  1CP455,   0,330.0,30.2
17566,3424,  2,0,19,30,  1,C,R,544,   24.4223,0.049,0.784,  1CR544,   0,342.0,30.1
17567,4073,  2,0,19,31,  1,C,P,473,   0.5477,19.125,35.851,  1CP473,   0,342.0,27.7
17568,3423,  2,0,19,32,  1,C,R,543,   24.5177,0.049,0.784,  1CR543,   0,366.0,31.3
17569,4083,  2,0,19,33,  1,C,P,483,   0.5267,19.125,35.854,  1CP483,   0,378.0,28.7
17570,4047,  2,0,19,34,  1,C,P,447,   0.6021,19.125,35.917,  1CP447,   0,306.0,34.7
17571,4069,  2,0,19,35,  1,C,P,469,   0.5560,19.125,35.854,  1CP469,   0,366.0,28.5
17572,3435,  2,0,19,36,  1,C,R,555,   23.3732,0.051,0.784,  1CR555,   0,342.0,31.7
17573,4065,  2,0,19,37,  1,C,P,465,   0.5644,19.125,35.860,  1CP465,   0,378.0,29.1
17574,3422,  2,0,19,38,  1,C,R,542,   24.6131,0.049,0.784,  1CR542,   0,378.0,29.7
17575,4081,  2,0,19,39,  1,C,P,481,   0.5309,19.125,35.852,  1CP481,   0,390.0,27.6
17576,3421,  2,0,19,40,  1,C,R,541,   24.7085,0.049,0.784,  1CR541,   0,390.0,30.8
17577,4087,  2,0,19,41,  1,C,P,487,   0.5183,19.125,35.859,  1CP487,   0,390.0,27.4
17578,3436,  2,0,19,42,  1,C,R,556,   23.2778,0.052,0.784,  1CR556,   0,366.0,28.3
17579,4061,  2,0,19,43,  1,C,P,461,   0.5728,19.125,35.868,  1CP461,   0,366.0,29.0
17580,4043,  2,0,19,44,  1,C,P,443,   0.6105,19.125,35.937,  1CP443,   0,294.0,22.2
17581,4057,  2,0,19,45,  1,C,P,457,   0.5812,19.125,35.879,  1CP457,   0,354.0,28.0
17582,3420,  2,0,19,46,  1,C,R,540,   24.8039,0.048,0.784,  1CR540,   0,354.0,28.8
17583,4085,  2,0,19,47,  1,C,P,485,   0.5225,19.125,35.856,  1CP485,   0,366.0,27.3
17584,3419,  2,0,19,48,  1,C,R,539,   24.8992,0.048,0.784,  1CR539,   0,366.0,29.5
17585,4091,  2,0,19,49,  1,C,P,491,   0.5100,19.125,35.867,  1CP491,   0,354.0,26.6
17586,3450,  2,0,19,50,  1,C,R,570,   21.9425,0.055,0.784,  1CR570,   0,306.0,32.8
17587,4051,  2,0,19,51,  1,C,P,451,   0.5937,19.125,35.900,  1CP451,   0,354.0,30.1
17588,3447,  2,0,19,52,  1,C,R,567,   22.2286,0.054,0.784,  1CR567,   0,342.0,29.8
17589,3430,  2,0,19,53,  1,C,R,550,   23.8501,0.050,0.784,  1CR550,   0,366.0,28.8
17590,3444,  2,0,19,54,  1,C,R,564,   22.5147,0.053,0.784,  1CR564,   0,366.0,30.6
17591,4089,  2,0,19,55,  1,C,P,489,   0.5141,19.125,35.863,  1CP489,   0,390.0,25.7
17592,3441,  2,0,19,56,  1,C,R,561,   22.8009,0.053,0.784,  1CR561,   0,366.0,31.4
17593,3432,  2,0,19,57,  1,C,R,552,   23.6593,0.051,0.784,  1CR552,   0,330.0,28.6
17594,3442,  2,0,19,58,  1,C,R,562,   22.7055,0.053,0.784,  1CR562,   0,390.0,31.5
17595,3448,  2,0,19,59,  1,C,R,568,   22.1332,0.054,0.784,  1CR568,   0,342.0,29.9
17596,3443,  2,0,19,60,  1,C,R,563,   22.6101,0.053,0.784,  1CR563,   0,366.0,30.7
17597,3449,  2,0,19,61,  1,C,R,569,   22.0378,0.054,0.784,  1CR569,   0,366.0,31.8
17598,3418,  2,0,19,62,  1,C,R,538,   24.9946,0.048,0.784,  1CR538,   0,390.0,28.9
17599,4093,  2,0,19,63,  1,C,P,493,   0.5058,19.125,35.872,  1CP493,   0,402.0,25.9
17600,3417,  2,0,19,64,  1,C,R,537,   25.0900,0.048,0.784,  1CR537,   0,426.0,28.4
17601,4157,  2,0,19,65,  1,C,P,557,   0.3717,19.125,36.370,  1CP557,   0,330.0,25.8
17602,3392,  2,0,19,66,  1,C,R,512,   27.4745,0.044,0.784,  1CR512,   0,366.0,32.9
17603,4095,  2,0,19,67,  1,C,P,495,   0.5016,19.125,35.878,  1CP495,   0,402.0,25.3
17604,3391,  2,0,19,68,  1,C,R,511,   27.5699,0.043,0.784,  1CR511,   0,318.0,32.6
17605,4097,  2,0,19,69,  1,C,P,497,   0.4974,19.125,35.884,  1CP497,   0,378.0,25.7
17606,3416,  2,0,19,70,  1,C,R,536,   25.1854,0.048,0.784,  1CR536,   0,390.0,28.2
17607,4145,  2,0,19,71,  1,C,P,545,   0.3968,19.125,36.226,  1CP545,   0,330.0,24.5
17608,3415,  2,0,19,72,  1,C,R,535,   25.2808,0.047,0.784,  1CR535,   0,378.0,29.1
17609,4099,  2,0,19,73,  1,C,P,499,   0.4932,19.125,35.891,  1CP499,   0,390.0,25.3
