This data are from 
M.E.Riley et al, Theoretical Electron-Atom Elastic Scattering CrossSections.
Atomic Data and Nuclear Data Tables 15,443-476(1975)

These parameters for Twelve-Parameter Fits to Diff. Cross Sct.
 1.427E+00  1.875E+00  1.990E+00  1.699E+00  1.070E+00  6.406E-01 -4.004E-01 -3.638E-01 -1.191E+00
 5.527E-02  9.522E-02  1.452E-01  1.939E-01  2.375E-01  2.604E-01  3.007E-01  2.984E-01  3.292E-01
-2.502E-04 -6.965E-04 -8.232E-04 -7.030E-04 -5.227E-04 -3.072E-04 -2.339E-04 -1.217E-04 -1.381E-04
 2.705E-05  1.050E-05  4.396E-06  1.701E-06  6.296E-07  1.826E-07  7.576E-08  2.354E-08  3.617E-08
-1.541E+00 -2.386E+00 -2.805E+00 -2.555E+00 -1.683E+00 -1.062E+00  5.774E-01  4.788E-01  1.770E+00
-1.472E+00 -2.601E+00 -3.317E+00 -3.176E+00 -2.153E+00 -1.397E+00  7.406E-01  6.022E-01  2.303E+00
-8.666E-01 -1.737E+00 -2.391E+00 -2.401E+00 -1.672E+00 -1.115E+00  5.758E-01  4.548E-01  1.815E+00
-4.155E-01 -9.407E-01 -1.395E+00 -1.469E+00 -1.047E+00 -7.180E-01  3.605E-01  2.727E-01  1.152E+00
-1.638E-01 -4.176E-01 -6.643E-01 -7.343E-01 -5.343E-01 -3.768E-01  1.825E-01  1.288E-01  5.931E-01
-4.905E-02 -1.403E-01 -2.385E-01 -2.776E-01 -2.048E-01 -1.487E-01  6.829E-02  4.247E-02  2.284E-01
-8.510E-03 -2.708E-02 -4.885E-02 -6.059E-02 -4.461E-02 -3.362E-02  1.358E-02  6.216E-03  5.031E-02
 4.125E-03  2.188E-03  1.189E-03  6.433E-04  3.480E-04  1.781E-04  9.893E-05  5.406E-05  5.406E-05

$ 6
-2.288E-01 -1.580E-01 -2.296E-03  1.188E-01 -1.130E-01 -1.099E-01 -2.114E-01 -3.210E-01 -3.712E-01
 1.755E-01  1.774E-01  1.813E-01  1.927E-01  2.573E-01  2.617E-01  2.751E-01  2.829E-01  2.860E-01
-5.670E-04  1.007E-03  5.522E-04 -2.222E-04 -6.304E-04 -3.796E-04 -2.618E-04 -1.435E-04 -7.271E-05
-2.822E-06 -6.323E-06 -1.751E-06  8.230E-08  7.391E-06  2.077E-06  6.244E-07  1.488E-07  3.304E-08
 5.481E-01  5.514E-01  4.277E-01  2.874E-01  4.173E-01  4.084E-01  4.764E-01  5.723E-01  5.971E-01
 7.001E-01  8.468E-01  8.727E-01  8.116E-01  7.996E-01  8.204E-01  8.368E-01  9.077E-01  9.267E-01
 5.164E-01  6.987E-01  8.691E-01  9.514E-01  8.364E-01  9.003E-01  8.566E-01  8.596E-01  8.603E-01
 3.055E-01  4.423E-01  6.429E-01  7.965E-01  6.723E-01  7.587E-01  6.950E-01  6.525E-01  6.395E-01
 1.493E-01  2.224E-01  3.722E-01  5.125E-01  4.275E-01  5.034E-01  4.532E-01  3.989E-01  3.810E-01
 5.661E-02  8.288E-02  1.587E-01  2.398E-01  2.002E-01  2.435E-01  2.194E-01  1.783E-01  1.645E-01
 1.273E-02  1.736E-02  3.764E-02  6.171E-02  5.196E-02  6.335E-02  5.949E-02  4.171E-02  3.950E-02
 5.592E-03  3.821E-03  1.900E-03  4.467E-04  1.180E-03  5.983E-04  3.049E-04  1.453E-04  6.647E-05

$ 7
-2.683E-01 -1.095E-01 -2.076E-01  1.155E+00  1.192E+00  1.083E+00  6.177E-01  6.945E-01  1.072E-01
 1.794E-01  1.917E-01  2.207E-01  1.476E-01  1.849E-01  2.177E-01  2.517E-01  2.517E-01  2.784E-01
-2.106E-03 -1.189E-03  1.094E-03  1.768E-03  6.366E-04  1.047E-04 -1.064E-04 -1.845E-05 -5.791E-05
 8.363E-06  2.424E-06  6.217E-05  4.937E-07  3.260E-06  1.638E-06  7.072E-07  8.120E-08  4.488E-08
 5.870E-01  3.883E-01  5.649E-01 -1.409E+00 -1.614E+00 -1.596E+00 -9.572E-01 -1.143E+00 -2.718E-01
 7.239E-01  5.554E-01  8.650E-01 -1.480E+00 -1.836E+00 -1.934E+00 -1.170E+00 -1.441E+00 -3.270E-01
 5.231E-01  4.279E-01  7.300E-01 -9.541E-01 -1.274E+00 -1.429E+00 -8.647E-01 -1.105E+00 -2.408E-01
 2.991E-01  2.539E-01  4.765E-01 -4.998E-01 -7.137E-01 -8.552E-01 -5.104E-01 -6.825E-01 -1.421E-01
 1.378E-01  1.199E-01  2.486E-01 -2.148E-01 -3.255E-01 -4.190E-01 -2.401E-01 -3.423E-01 -6.744E-02
 4.780E-02  4.201E-02  9.691E-02 -6.986E-02 -1.112E-01 -1.557E-01 -8.076E-02 -1.293E-01 -2.457E-02
 9.790E-03  8.339E-03  2.151E-02 -1.307E-02 -2.128E-02 -3.377E-02 -1.323E-02 -2.937E-02 -6.507E-03
 5.535E-03  2.575E-03  5.228E-03  2.104E-03  1.290E-03  7.012E-04  3.761E-04  1.529E-04  8.430E-05

$ 8
-3.151E-01 -4.143E-01 -3.378E-01  7.750E-01  1.151E+00  1.043E+00  8.495E-01  6.484E-01  6.268E-01
 1.565E-01  2.123E-01  2.280E-01  1.668E-01  1.769E-01  2.119E-01  2.388E-01  2.526E-01  2.555E-01
 5.179E-03  8.074E-04  2.091E-03  2.130E-03  1.118E-03  3.669E-04  5.394E-05  5.051E-06  1.052E-05
-7.102E-05 -1.079E-05  5.928E-05  6.685E-12  7.192E-07  1.642E-06  7.253E-07  1.528E-07  1.002E-08
 6.907E-01  8.183E-01  7.333E-01 -8.508E-01 -1.514E+00 -1.489E+00 -1.311E+00 -1.053E+00 -1.081E+00
 8.607E-01  1.068E+00  1.040E+00 -8.104E-01 -1.685E+00 -1.755E+00 -1.622E+00 -1.305E+00 -1.363E+00
 6.281E-01  8.144E-01  8.428E-01 -4.708E-01 -1.148E+00 -1.259E+00 -1.224E+00 -9.807E-01 -1.045E+00
 3.597E-01  4.966E-01  5.392E-01 -2.198E-01 -6.336E-01 -7.280E-01 -7.484E-01 -5.893E-01 -6.437E-01
 1.652E-01  2.472E-01  2.800E-01 -8.269E-02 -2.864E-01 -3.417E-01 -3.747E-01 -2.827E-01 -3.206E-01
 5.686E-02  9.356E-02  1.100E-01 -2.291E-02 -9.803E-02 -1.195E-01 -1.422E-01 -9.731E-02 -1.192E-01
 1.108E-02  2.049E-02  2.459E-02 -3.431E-03 -1.939E-02 -2.313E-02 -3.158E-02 -1.668E-02 -2.626E-02
 1.527E-02  6.677E-03  6.234E-03  2.632E-03  1.398E-03  8.426E-04  4.476E-04  2.062E-04  7.411E-05

$ 9
-2.710E-01 -1.705E-01 -4.203E-01 -8.103E-02  8.470E-01  1.032E+00  9.064E-01  7.370E-01  7.296E-01
 6.297E-02  1.982E-01  2.525E-01  2.293E-01  1.892E-01  2.059E-01  2.323E-01  2.470E-01  2.510E-01
 1.920E-02 -1.907E-03  1.649E-03 -5.853E-04  1.314E-03  6.477E-04  2.021E-04  6.899E-05  2.812E-05
-1.458E-05  6.353E-06  1.059E-04  4.938E-07  1.198E-13  1.000E-06  7.184E-07  1.568E-07  3.663E-09
 8.256E-01  4.602E-01  7.589E-01  3.443E-01 -1.043E+00 -1.440E+00 -1.373E+00 -1.174E+00 -1.261E+00
 1.154E+00  6.192E-01  9.765E-01  5.852E-01 -1.093E+00 -1.665E+00 -1.676E+00 -1.445E+00 -1.601E+00
 9.200E-01  4.733E-01  7.312E-01  5.192E-01 -6.998E-01 -1.174E+00 -1.249E+00 -1.080E+00 -1.243E+00
 5.763E-01  2.837E-01  4.353E-01  3.475E-01 -3.624E-01 -6.677E-01 -7.544E-01 -6.459E-01 -7.811E-01
 2.949E-01  1.363E-01  2.107E-01  1.826E-01 -1.537E-01 -3.085E-01 -3.728E-01 -3.090E-01 -3.993E-01
 1.166E-01  4.879E-02  7.714E-02  7.063E-02 -4.901E-02 -1.063E-01 -1.396E-01 -1.066E-01 -1.488E-01
 2.720E-02  9.832E-03  1.628E-02  1.543E-02 -9.001E-03 -2.032E-02 -3.050E-02 -1.865E-02 -3.074E-02
 2.583E-02  4.772E-03  7.849E-03  1.104E-03  1.634E-03  9.459E-04  5.241E-04  2.429E-04  7.913E-05

$ 10
-5.051e-01 -4.108e-01 -3.681e-01 -1.920e-01  5.851e-01  9.244e-01  8.763e-01 -3.645e-01  7.268e-01
 5.320e-02  2.105e-01  2.348e-01  2.398e-01  2.028e-01  2.071e-01  2.293e-01  2.874e-01  2.505e-01
 2.660e-02 -2.308e-03  6.014e-04 -7.757e-04  1.498e-03  7.765e-04  3.414e-04 -1.041e-04  3.920e-05
 3.227e-06  9.195e-06 -5.867e-06  8.546e-07 -2.242e-12 -3.061e-12  6.259e-07  7.418e-07  9.645e-10
 1.056e+00  8.048e-01  7.414e-01  4.849e-01 -6.542e-01 -1.257e+00 -1.293e+00  6.335e-01 -1.215e+00
 1.273e+00  1.023e+00  1.003e+00  7.298e-01 -6.205e-01 -1.425e+00 -1.542e+00  9.666e-01 -1.510e+00
 8.780e-01  7.627e-01  7.879e-01  6.081e-01 -3.543e-01 -9.868e-01 -1.119e+00  8.719e-01 -1.141e+00
 4.597e-01  4.510e-01  4.937e-01  3.920e-01 -1.599e-01 -5.537e-01 -6.546e-01 -6.254e-01 -6.902e-01
 1.810e-01  2.160e-01  2.524e-01  2.016e-01 -5.683e-02 -2.541e-01 -3.099e-01  3.595e-01 -3.337e-01
 4.447e-02  7.818e-02  9.791e-02  7.726e-02 -1.445e-02 -8.807e-02 -1.088e-01  1.513e-01 -1.162e-01
 3.043e-03  1.651e-02  2.175e-02  1.688e-02 -2.009e-03 -1.767e-02 -2.093e-02  3.408e-02 -2.078e-02
 3.299e-02  6.630e-03  5.288e-03  1.407e-03  1.975e-03  9.812e-04  5.974e-04  3.638e-04  8.999e-05

$ 13
-4.378E-01 -3.167E-01 -2.708E-01 -2.120E-01 -2.487E-01 -2.509E-01 -2.340E-01 -2.650E-01 -2.887E-01
 9.230E-02  1.454E-01  1.968E-01  2.238E-01  2.440E-01  2.547E-01  2.598E-01  2.632E-01  2.677E-01
-1.988E-03 -3.033E-03 -2.520E-03 -1.545E-03 -8.717E-04 -4.561E-04 -2.297E-04 -1.108E-04 -5.184E-05
 3.912E-05  3.749E-05  1.642E-05  5.325E-06  1.526E-06  3.975E-07  9.745E-08  2.235E-08  4.724E-09
 9.154E-01  7.984E-01  7.195E-01  6.202E-01  6.319E-01  6.121E-01  5.710E-01  5.794E-01  5.696E-01
 1.089E+00  1.079E+00  1.064E+00  1.001E+00  1.008E+00  9.975E-01  9.718E-01  9.775E-01  9.695E-01
 8.455E-01  8.439E-01  8.883E-01  9.071E-01  9.025E-01  9.105E-01  9.213E-01  9.188E-01  9.192E-01
 5.493E-01  5.267E-01  5.759E-01  6.450E-01  6.283E-01  6.424E-01  6.721E-01  6.653E-01  6.698E-01
 3.033E-01  2.718E-01  2.962E-01  3.698E-01  3.493E-01  3.588E-01  3.856E-01  3.802E-01  3.813E-01
 1.342E-01  1.092E-01  1.121E-01  1.589E-01  1.442E-01  1.474E-01  1.612E-01  1.593E-01  1.552E-01
 3.585E-02  2.589E-02  2.376E-02  3.845E-02  3.347E-02  3.359E-02  3.680E-02  3.715E-02  3.315E-02
 6.753E-03  4.403E-03  2.434E-03  1.282E-03  6.546E-04  3.271E-04  1.599E-04  7.580E-05  3.417E-05

$ 14
-4.820E-01 -3.436E-01  1.032E+00  1.099E+00 -2.834E-01  7.271E-01  4.975E-01 -3.009E-01 -3.203E-01
 1.315E-01  1.377E-01  1.022E-01  1.591E-01  2.496E-01  2.229E-01  2.438E-01  2.875E-01  2.946E-01
-5.324E-03 -2.923E-03 -8.502E-04 -9.280E-04 -1.066E-03 -3.526E-04 -2.120E-04 -2.344E-04 -1.483E-04
 1.555E-04  4.879E-05  9.499E-06  4.498E-06  2.597E-06  3.532E-07  1.095E-07  1.340E-07  5.275E-08
 7.947E-01  8.286E-01 -1.163E+00 -1.429E+00  6.795E-01 -1.002E+00 -6.834E-01  5.116E-01  4.764E-01
 7.724E-01  1.090E+00 -1.231E+00 -1.651E+00  1.068E+00 -1.165E+00 -7.525E-01  7.734E-01  7.112E-01
 5.181E-01  8.414E-01 -8.242E-01 -1.192E+00  9.573E-01 -8.474E-01 -5.102E-01  6.779E-01  6.173E-01
 2.907E-01  5.252E-01 -4.605E-01 -7.067E-01  6.767E-01 -5.094E-01 -2.811E-01  4.676E-01  4.236E-01
 1.401E-01  2.746E-01 -2.163E-01 -3.463E-01  3.866E-01 -2.545E-01 -1.267E-01  2.570E-01  2.332E-01
 5.502E-02  1.131E-01 -7.860E-02 -1.295E-01  1.657E-01 -9.712E-02 -4.289E-02  1.034E-01  9.503E-02
 1.353E-02  2.768E-02 -1.661E-02 -2.797E-02  3.978E-02 -2.127E-02 -8.133E-03  2.257E-02  2.181E-02
 9.832E-03  5.141E-03  2.487E-03  1.379E-03  8.077E-04  3.422E-04  1.768E-04  1.453E-04  8.163E-05

$ 18
 7.435E-02 -5.446E-01 -4.682E-01  7.745E-01  7.001E-01  3.434E-01  5.462E-01  5.349E-01  7.525E-01
 1.468E-01  2.051E-01  1.962E-01  1.519E-01  2.065E-01  2.461E-01  2.440E-01  2.528E-01  2.519E-01
-1.710E-02 -9.645E-03 -4.136E-03 -1.032E-03 -1.017E-03 -7.181E-04 -2.647E-04 -1.264E-04 -4.787E-05
 1.165E-03  3.634E-04  9.998E-05  2.092E-05  8.324E-06  2.704E-06  4.327E-07  8.662E-08  1.365E-08
-1.127E-01  7.818E-01  9.303E-01 -8.353E-01 -8.852E-01 -4.207E-01 -7.605E-01 -7.908E-01 -1.209E+00
-3.553E-01  6.983E-01  1.183E+00 -8.358E-01 -9.938E-01 -4.465E-01 -8.634E-01 -9.010E-01 -1.464E+00
-2.223E-01  3.838E-01  8.746E-01 -5.250E-01 -7.013E-01 -3.085E-01 -6.144E-01 -6.357E-01 -1.093E+00
-1.378E-01  1.706E-01  5.150E-01 -2.731E-01 -4.069E-01 -1.814E-01 -3.613E-01 -3.650E-01 -6.610E-01
-6.122E-02  6.301E-02  2.496E-01 -1.187E-01 -1.946E-01 -9.040E-02 -1.764E-01 -1.710E-01 -3.252E-01
-2.011E-02  1.852E-02  9.367E-02 -3.974E-02 -7.045E-02 -3.483E-02 -6.570E-02 -5.986E-02 -1.192E-01
-3.889E-03  3.374E-03  2.073E-02 -7.640E-03 -1.450E-02 -7.855E-03 -1.405E-02 -1.164E-02 -2.465E-02
 2.169E-02  1.125E-02  5.761E-03  2.826E-03  1.516E-03  7.845E-04  3.452E-04  1.566E-04  6.648E-05

$ 29
-3.708e-01 -2.253e-01 -3.517e-02  1.195e-01  1.988e-01  1.772e-01  1.569e+00  1.515e+00 -1.208e-01
 4.550e-02  4.669e-02  6.660e-02  1.045e-01  1.464e-01  1.849e-01  1.827e-01  2.076e-01  2.543e-01
-9.758e-04 -5.455e-04 -4.729e-04 -4.690e-04 -3.836e-04 -2.719e-04 -1.130e-04 -6.805e-05 -5.682e-05
 1.012e-05  3.382e-06  1.722e-06  1.041e-06  4.937e-07  2.041e-07  3.142e-08  1.044e-08  7.184e-09
 6.595e-01  6.401e-01  5.274e-01  3.743e-01  2.855e-01  2.735e-01 -2.251e+00 -2.257e+00  4.703e-01
 6.520e-01  7.821e-01  8.447e-01  8.063e-01  8.240e-01  8.435e-01 -2.691e+00 -2.749e+00  9.675e-01
 6.085e-01  7.361e-01  8.434e-01  8.560e-01  9.518e-01  1.002e+00 -1.992e+00 -2.074e+00  9.604e-01
 2.572e-01  4.644e-01  6.565e-01  7.012e-01  7.924e-01  8.430e-01 -1.204e+00 -1.277e+00  6.929e-01
 1.528e-01  2.519e-01  4.139e-01  4.666e-01  5.160e-01  5.451e-01 -5.956e-01 -6.424e-01  3.774e-01
 6.758e-02  1.080e-01  2.019e-01  2.364e-01  2.494e-01  2.578e-01 -2.222e-01 -2.413e-01  1.455e-01
 1.996e-02  2.935e-02  5.778e-02  6.757e-02  6.715e-02  6.486e-02 -4.640e-02 -5.024e-02  3.037e-02
 7.408e-03  4.015e-03  2.283e-03  1.354e-03  7.691e-04  4.308e-04  1.786e-04  9.372e-05  5.987e-05

$ 36
 6.709e-01  3.048e-01  4.607e-01  5.947e-01  7.375e-01  2.422e+00  2.322e+00  1.191e+00  1.661e+00
-4.406e-02  8.579e-03  2.005e-02  6.598e-02  1.172e-01  9.817e-02  1.462e-01  1.993e-01  2.174e-01
 2.039e-03 -2.853e-05 -4.253e-05 -3.390e-04 -4.770e-04 -6.937e-05 -7.809e-05 -7.539e-05 -4.225e-05
 8.157e-07  2.661e-08  2.807e-08  3.601e-06  2.021e-06  2.612e-08  2.272e-08  1.755e-08  4.865e-09
-7.948e-01 -2.836e-01 -3.282e-01 -4.446e-01 -6.801e-01 -3.461e+00 -3.407e+00 -1.534e+00 -2.508e+00
-1.037e+00 -5.114e-01 -3.884e-01 -3.868e-01 -6.178e-01 -4.261e+00 -4.202e+00 -1.614e+00 -3.045e+00
-5.757e-01 -3.176e-01 -2.002e-01 -1.708e-01 -3.487e-01 -3.270e+00 -3.209e+00 -1.039e+00 -2.301e+00
-4.863e-01 -3.081e-01 -1.210e-01 -3.475e-02 -1.528e-01 -2.068e+00 -2.003e+00 -5.280e-01 -1.417e+00
-1.435e-01 -1.865e-01 -6.935e-02  1.587e-02 -4.498e-02 -1.085e+00 -1.026e+00 -2.076e-01 -7.101e-01
-7.481e-02 -9.283e-02 -3.543e-02  1.833e-02 -3.077e-03 -4.348e-01 -3.952e-01 -5.657e-02 -2.633e-01
-1.904e-02 -3.157e-02 -1.147e-02  6.589e-03  2.730e-03 -9.974e-02 -8.741e-02 -7.620e-03 -5.331e-02
 1.269e-02  9.616e-04  8.274e-04  2.199e-03  1.238e-03  2.735e-04  1.736e-04  1.132e-04  5.406e-05

$ 54
 2.544E-01  4.937E-03  4.132E-01  6.066E-01  1.275E+00  1.901E+00  2.456E+00  2.576E+00  2.764E+00
-1.013E-02  1.016E-02  7.881E-03  3.123E-02  3.961E-02  6.741E-02  1.035E-01  1.455E-01  1.742E-01
 4.744E-04 -3.434E-05  1.231E-04 -5.982E-05 -2.316E-05 -3.843E-05 -4.707E-05 -4.937E-05 -2.956E-05
 8.157E-07  4.271E-08  6.323E-08  8.043E-07  1.212E-08  1.600E-08  1.522E-08  1.106E-08  2.676E-09
-2.990E-01  1.747E-01 -3.684E-01 -5.942E-01 -1.543E+00 -2.500E+00 -3.457E+00 -3.721E+00 -4.118E+00
-4.626E-01  1.589E-01 -5.238E-01 -7.772E-01 -1.885E+00 -3.017E+00 -4.248E+00 -4.562E+00 -5.088E+00
-2.444E-01  3.334E-01 -2.262E-01 -5.135E-01 -1.412E+00 -2.280E+00 -3.275E+00 -3.508E+00 -3.943E+00
-3.055E-01  8.116E-02 -1.946E-01 -3.306E-01 -8.995E-01 -1.426E+00 -2.084E+00 -2.212E+00 -2.495E+00
-4.217E-02  1.795E-01 -7.936E-02 -1.780E-01 -4.912E-01 -7.426E-01 -1.099E+00 -1.146E+00 -1.288E+00
-1.540E-01  5.137E-02 -2.414E-02 -7.568E-02 -2.145E-01 -2.989E-01 -4.425E-01 -4.457E-01 -4.933E-01
-1.718E-02  2.234E-02 -4.597E-03 -1.957E-02 -5.626E-02 -7.006E-02 -1.017E-01 -9.934E-02 -1.057E-01
 9.027E-03  1.564E-03  2.333E-03  1.623E-03  4.254E-04  2.607E-04  1.660E-04  1.006E-04  4.482E-05


For gold two new columns are with some error and the cross ection is partly negative
this is original array. Below I exschenge these two columns by those from platinum
-5.385e+00  5.897e-02  1.343e-01  3.398e-01  7.796e-01  1.124e+00  9.878e-01  1.128e+00  1.183e+00
 6.103e-01  2.635e-03  6.212e-03  1.205e-02  2.413e-02  5.678e-02  1.052e-01  1.438e-01  1.811e--1
-3.597e-02 -8.692e-06 -1.295e-05 -7.076e-06 -1.155e-05 -8.962e-05 -1.521e-04 -1.180e-04 -8.682e-05
 8.881e-04  8.255e-09  9.279e-09  3.511e-09  4.484e-08  1.834e-07  1.753e-07  6.411e-08  2.526e-08
 6.630e+00 -4.237e-04 -2.718e-02 -2.070e-01 -7.525e-01 -1.257e+00 -9.262e-01 -1.062e+00 -1.087e+00
 7.136e+00 -9.454e-02 -1.386e-01 -3.018e-01 -8.807e-01 -1.515e+00 -9.434e-01 -9.820e-01 -8.723e-01
 4.941e+00  7.299e-02  7.436e-02 -3.457e-02 -4.310e-01 -1.009e+00 -5.508e-01 -5.799e-01 -4.853e-01
 2.859e+00 -9.099e-02 -1.182e-01 -1.376e-01 -2.202e-01 -5.615e-01 -2.240e-01 -2.410e-01 -1.867e-01
 1.513e+00  1.146e-01  1.008e-01 -4.759e-02 -8.456e-02 -2.523e-01 -3.982e-02 -4.307e-02 -2.629e-02
 6.552e-01 -1.099e-01 -9.920e-03 -1.269e-02 -1.915e-02 -8.269e-02  2.036e-02  2.461e-02  2.239e-02
 3.184e-01  7.235e-02 -2.381e-03 -2.412e-03 -4.329e-04 -1.456e-02  1.236e-02  1.720e-02  1.386e-02
 2.317e-02  9.400e-04  9.200e-04  8.800e-04  7.751e-04  6.142e-04  3.908e-04  1.998e-04  1.042e-04

NO the exchange doe not help. Probably there is an error as well.
Therefore I make A[0] for these two cases 0 and this should lead to the extrapolation from
next columns. 
These are old values -3.097e+00  9.760e-02 

No, this is all bad, I remove the gold at all (bad metal:))
 79
 0.0        0.0        1.343e-01  3.398e-01  7.796e-01  1.124e+00  9.878e-01  1.128e+00  1.183e+00
 2.961e-01  6.071e-04  6.212e-03  1.205e-02  2.413e-02  5.678e-02  1.052e-01  1.438e-01  1.811e--1
-1.402e-02  9.760e-05 -1.295e-05 -7.076e-06 -1.155e-05 -8.962e-05 -1.521e-04 -1.180e-04 -8.682e-05
 2.802e-04  4.271e-08  9.279e-09  3.511e-09  4.484e-08  1.834e-07  1.753e-07  6.411e-08  2.526e-08
 4.086e+00 -5.677e-02 -2.718e-02 -2.070e-01 -7.525e-01 -1.257e+00 -9.262e-01 -1.062e+00 -1.087e+00
 4.630e+00 -1.679e-01 -1.386e-01 -3.018e-01 -8.807e-01 -1.515e+00 -9.434e-01 -9.820e-01 -8.723e-01
 3.407e+00  1.650e-02  7.436e-02 -3.457e-02 -4.310e-01 -1.009e+00 -5.508e-01 -5.799e-01 -4.853e-01
 2.073e+00 -1.328e-01 -1.182e-01 -1.376e-01 -2.202e-01 -5.615e-01 -2.240e-01 -2.410e-01 -1.867e-01
 1.173e+00  9.286e-02  1.008e-01 -4.759e-02 -8.456e-02 -2.523e-01 -3.982e-02 -4.307e-02 -2.629e-02
 5.271e-01 -1.214e-01 -9.920e-03 -1.269e-02 -1.915e-02 -8.269e-02  2.036e-02  2.461e-02  2.239e-02
 2.882e-01  6.111e-02 -2.381e-03 -2.412e-03 -4.329e-04 -1.456e-02  1.236e-02  1.720e-02  1.386e-02
 1.778e-02  4.722e-03  9.200e-04  8.800e-04  7.751e-04  6.142e-04  3.908e-04  1.998e-04  1.042e-04

$ 92
-4.213e+00  4.582e-02  1.465e-01  3.527e-01  6.879e-01  1.459e+00  2.071e+00  2.166e+00  1.326e+00
 3.814e-01  2.062e-03  4.574e-03  8.601e-03  1.697e-02  3.076e-02  6.056e-02  1.043e-01  1.729e-01
-1.634e-02  5.268e-06 -3.658e-06 -7.921e-06 -1.491e-05 -2.313e-05 -4.509e-05 -6.575e-05 -1.237e-04
 2.702e-04 -2.755e-09  7.835e-09  7.861e-09  9.857e-09  1.147e-08  1.812e-08  1.979e-08  4.855e-08
 5.708e+00  2.548e-02 -8.227e-02 -3.025e-01 -6.638e-01 -1.846e+00 -2.874e+00 -2.970e+00 -1.446e+00
 6.617e+00 -1.233e-02 -2.092e-01 -4.827e-01 -8.299e-01 -2.361e+00 -3.821e+00 -3.918e+00 -1.695e+00
 4.889e+00  1.288e-01  2.965e-03 -2.104e-01 -4.027e-01 -1.630e+00 -3.008e+00 -3.228e+00 -1.446e+00
 3.026e+00  3.048e-02 -1.581e-01 -3.160e-01 -3.349e-01 -9.986e-01 -1.958e+00 -2.156e+00 -9.793e-01
